review_month,review_count,rolling_3m
2023-02-01,90,90.0
2023-03-01,2615,1352.5
2023-04-01,56,920.3333333333334
2023-05-01,100,923.6666666666666
2023-06-01,78,78.0
2023-07-01,94,90.66666666666667
2023-08-01,100,90.66666666666667
2023-09-01,97,97.0
2023-10-01,134,110.33333333333333
2023-11-01,95,108.66666666666667
2023-12-01,79,102.66666666666667
2024-01-01,78,84.0
2024-02-01,49,68.66666666666667
2024-03-01,59,62.0
2024-04-01,102,70.0
2024-05-01,126,95.66666666666667
2024-06-01,123,117.0
2024-07-01,77,108.66666666666667
2024-08-01,81,93.66666666666667
2024-09-01,122,93.33333333333333
2024-10-01,132,111.66666666666667
2024-11-01,101,118.33333333333333
2024-12-01,97,110.0
2025-01-01,79,92.33333333333333
2025-02-01,76,84.0
2025-03-01,115,90.0
2025-04-01,99,96.66666666666667
2025-05-01,120,111.33333333333333
2025-06-01,100,106.33333333333333
2025-07-01,92,104.0
2025-08-01,116,102.66666666666667
2025-09-01,81,96.33333333333333
2025-10-01,139,112.0
2025-11-01,109,109.66666666666667
2025-12-01,100,116.0
2026-01-01,71,93.33333333333333
2026-02-01,17,62.666666666666664
