program,affected_gross_bookings_base,required_gross_bookings_uplift_bps
Guaranteed $0.50 OKC,100000000.0,56.90691435765958
Guaranteed $0.50 OKC,250000000.0,22.76276574306383
Guaranteed $0.50 OKC,500000000.0,11.381382871531915
Guaranteed $0.50 OKC,1000000000.0,5.690691435765958
Guaranteed $0.50 OKC,5000000000.0,1.1381382871531915
20 winners / week x $50 OKC,100000000.0,103.6497805575411
20 winners / week x $50 OKC,250000000.0,41.45991222301644
20 winners / week x $50 OKC,500000000.0,20.72995611150822
20 winners / week x $50 OKC,1000000000.0,10.36497805575411
20 winners / week x $50 OKC,5000000000.0,2.072995611150822
10 winners / week x $100 OKC,100000000.0,103.6497805575411
10 winners / week x $100 OKC,250000000.0,41.45991222301644
10 winners / week x $100 OKC,500000000.0,20.72995611150822
10 winners / week x $100 OKC,1000000000.0,10.36497805575411
10 winners / week x $100 OKC,5000000000.0,2.072995611150822
Guaranteed $1.00 OKC,100000000.0,121.93508542046558
Guaranteed $1.00 OKC,250000000.0,48.77403416818623
Guaranteed $1.00 OKC,500000000.0,24.387017084093117
Guaranteed $1.00 OKC,1000000000.0,12.193508542046558
Guaranteed $1.00 OKC,5000000000.0,2.4387017084093117
50 winners / week x $50 OKC,100000000.0,259.1244513938528
50 winners / week x $50 OKC,250000000.0,103.6497805575411
50 winners / week x $50 OKC,500000000.0,51.82489027877055
50 winners / week x $50 OKC,1000000000.0,25.912445139385277
50 winners / week x $50 OKC,5000000000.0,5.182489027877056
25 winners / week x $100 OKC,100000000.0,259.1244513938528
25 winners / week x $100 OKC,250000000.0,103.6497805575411
25 winners / week x $100 OKC,500000000.0,51.82489027877055
25 winners / week x $100 OKC,1000000000.0,25.912445139385277
25 winners / week x $100 OKC,5000000000.0,5.182489027877056
